ID,Common name,Structure,InCHl key,Other name ,Kingdom(ClassyFire),Superclass(ClassyFire),Class(ClassyFire),Subclass(ClassyFire),Parent Level 1(ClassyFire),smiles,class_results(NPClassifier),superclass_results(NPClassifier),pathway_results(NPClassifier),isglycoside(NPClassifier),LOTUS link,CheMBL link,NPAtlas?,GNPS?,NP-MRD?,NPMRD_id,References,Notes,,,
M00001,Usnic acid,O=C(C=1C(O)=C(C(O)=C2C1OC3=CC(=O)C(C(=O)C)C(=O)C32C)C)C,CUCUKLJLRRAKFN-UHFFFAOYSA-N,"Usniacin, Usninic acid, Usno, Usninsäure; Evans' substance A; Evans' substance B; carbousnic acid",Organic compounds,Benzenoids,Benzene and substituted derivatives,Acetophenones,Acetophenones,O=C(C=1C(O)=C(C(O)=C2C1OC3=CC(=O)C(C(=O)C)C(=O)C32C)C)C,Usnic acid and derivatives,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0051216,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=usnic%20acid%0A,FALSE,TRUE,TRUE,NP0278586,https://doi.org/10.1002/jlac.18440490202,first synthesis DOI        https://doi.org/10.1039/JR9330001173,,,
M00002,Evernic acid,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2C)C=C1C,GODLCSLPZIBRMG-UHFFFAOYSA-N,Evernsaure,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2C)C=C1C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0237175,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1484978/,FALSE,FALSE,TRUE,NP0304017,https://doi.org/10.1039/JR9320001388,"Structure Proved Fischer, E. and H. O. L. Fischer, Chem. Ber.  47, 505-512 (1914).",,,
M00003,methyl everninate,O=C(OC)C=1C(O)=CC(OC)=CC1C,PFVPJOAAHSOENR-UHFFFAOYSA-N,Sparassol,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,O=C(OC)C=1C(O)=CC(OC)=CC1C,"Shikimic acids and derivatives,Simple phenolic acids",Phenolic acids (C6-C1),Shikimates and Phenylpropanoids,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0091454,,FALSE,FALSE,TRUE,NP0077681,https://doi.org/10.1002/cber.19240570711,,,,
M00004,Glomelliferic acid,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2CC(=O)CCC)C=C1CCCCC,PKLMGLZTAHCGBQ-UHFFFAOYSA-N,"glomelliferin, Glomellifersaure",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2CC(=O)CCC)C=C1CCCCC,Depsides,Aromatic polyketides,Polyketides,FALSE,,,FALSE,TRUE,FALSE,,https://doi.org/10.1071/CH9891969 (synthesis),,,,
M00005,Norstictic acid,O=CC1=C(O)C=C(C=2C(=O)OC3=C(OC12)C4=C(C(=O)OC4O)C(O)=C3C)C,IEVVSJFLBYOUCJ-UHFFFAOYSA-N,Bryopogonic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Diarylethers,O=CC1=C(O)C=C(C=2C(=O)OC3=C(OC12)C4=C(C(=O)OC4O)C(O)=C3C)C,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0010927,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL228281/,FALSE,TRUE,TRUE,NP0076917,"https://doi.org/10.1111/j.1095-8339.1939.tb01602.x, 
Asashina, Y. Ober die Reaktion von Flechten-Thallua, in ibid. p. 47. ","Despite norstictic acid being referenced more for the structure, bryopogonic acid was first mentioned in literature in 1901.",,,
M00006,Arthoniaic acid,O=C(O)C=1C(OC)=CC(OC(=O)C=2C(O)=CC(O)=CC2CC(=O)CCCCC)=CC1CC(=O)CCCCC,DGXLEDCXMIJNPJ-UHFFFAOYSA-N  ,"Arthonia acid, Arthonioic acid",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C=1C(OC)=CC(OC(=O)C=2C(O)=CC(O)=CC2CC(=O)CCCCC)=CC1CC(=O)CCCCC,Depsides,Aromatic polyketides,Polyketides,FALSE,,,FALSE,TRUE,FALSE,,"Huneck, S., Schreiber, K., Snatzke, G., & Fehlhaber, H. W. (1970). On substances contained in lichens. 70. Arthonia acid, a new depside from Arthonia impolita (EHRH) BORR. Zeitschrift fur Naturforschung. Teil B, Chemie, Biochemie, Biophysik, Biologie und verwandte Gebiete, 25(1), 49-53.",,,,
M00007,Perlatolic acid,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2CCCCC)C=C1CCCCC,UTAQXQVSEKIWBB-UHFFFAOYSA-N,Perlatolinic acid,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2CCCCC)C=C1CCCCC,Depsides,Aromatic polyketides,Polyketides,FALSE,,,FALSE,TRUE,TRUE,NP0288052,"Asahina, Y., J. Japan. Botany 14, 39-44 (1938)",,,,
M00008,Physodic acid,O=C(O)C1=C(O)C=C2OC(=O)C=3C(OC2=C1CCCCC)=CC(O)=CC3CC(=O)CCCCC,KVTYWHGIZSCFLG-UHFFFAOYSA-N,Physodalin; evernuric acid; farinacic acid; farinacinic acid,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C2OC(=O)C=3C(OC2=C1CCCCC)=CC(O)=CC3CC(=O)CCCCC,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0230318,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL171637/,FALSE,TRUE,TRUE,NP0299310,"Hesse, O., Chem. ber. 30, 1983-1989; J. Prakt. Chem. 57, 409-447 (1898)",,,,
M00009,Lobaric acid,O=C(O)C1=C(O)C=C2OC(=O)C=3C(OC2=C1CCCCC)=CC(OC)=CC3C(=O)CCCC,JHEWMLHQNRHTQX-UHFFFAOYSA-N,"Lobraric acid, lobutoic Acid, Stereocaulic acid; usnetic acid; usnetinic acid",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C2OC(=O)C=3C(OC2=C1CCCCC)=CC(OC)=CC3C(=O)CCCC,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0164103,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL551842/,FALSE,TRUE,TRUE,NP0253982,"Asahina, Y., Lichens of Japan. Vol. 2. Genus Parmelia. Tokyo. 1952",,,,
M00010,Methyl gyrophorate,O=C(OC1=CC(O)=C(C(=O)OC2=CC(O)=C(C(=O)OC)C(=C2)C)C(=C1)C)C=3C(O)=CC(O)=CC3C,OFJNYUNWWLLTKC-UHFFFAOYSA-N,Gyrophorsauremethylester; pseudocyphellarin,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(OC1=CC(O)=C(C(=O)OC2=CC(O)=C(C(=O)OC)C(=C2)C)C(=C1)C)C=3C(O)=CC(O)=CC3C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0215401,,FALSE,FALSE,TRUE,NP0289102,http://actachemscand.org/pdf/acta_vol_18_p0329-0334.pdf,This one does not have a doi link,,,
M00011,Constictic acid,O=CC1=C(OC)C=C(C=2C(=O)OC3=C(OC12)C4=C(C(=O)OC4O)C(O)=C3CO)C,FYPCEUKJORJHDL-UHFFFAOYSA-N,Constipatic acid; beta methylethersalazinic acid; 4-o-methylsalazinic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Diarylethers,O=CC1=C(OC)C=C(C=2C(=O)OC3=C(OC12)C4=C(C(=O)OC4O)C(O)=C3CO)C,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0109717,,FALSE,FALSE,TRUE,NP0216856,"Asahina, Y. (1968). Jouvn. fmp. Bot, 43, 97.",,,,
M00012,Rhizonic acid,O=C(O)C1=C(O)C(=C(OC)C=C1C)C,BMRVNZZVDSVOQG-UHFFFAOYSA-N,4-O-methyl-beta-orcinolcarboxylic acid; Rhizironic acid; Rhizoninsaure,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,O=C(O)C1=C(O)C(=C(OC)C=C1C)C,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0185007,,TRUE,TRUE,TRUE,NP0268300,https://doi.org/10.1021/np50010a006,,,,
M00013,Squamatic acid,O=C(O)C=1C(O)=C(C(=O)OC=2C=C(C(C(=O)O)=C(O)C2C)C)C(=CC1OC)C,WCWYEXBIRSSVGF-UHFFFAOYSA-N,Squamatsaure; uncinatic acid; sphaerophoric acid; iso-squamatic acid,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C=1C(O)=C(C(=O)OC=2C=C(C(C(=O)O)=C(O)C2C)C)C(=CC1OC)C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0263483,,FALSE,TRUE,TRUE,NP0322145,https://doi.org/10.1080/00275514.1986.12025345,,,,
M00014,Lecanoric acid,O=C(O)C1=C(O)C=C(OC(=O)C=2C(O)=CC(O)=CC2C)C=C1C,HEMSJKZDHNSSEW-UHFFFAOYSA-N,"o-orsellinate depside, Orsellinate depside, glabratic acid; lecanorin; parmelialic acid",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C=2C(O)=CC(O)=CC2C)C=C1C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0032151,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1451874/,TRUE,TRUE,TRUE,NP0021392,https://doi.org/10.7164/antibiotics.27.587,,,,
M00015,Sphaerophorin,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2C)C=C1CCCCCCC,LNAYIVMXSQCRRC-UHFFFAOYSA-N,"Spherophorin, Spaerophorin",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2C)C=C1CCCCCCC,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0111680,,TRUE,TRUE,TRUE,NP0218187,https://doi.org/10.2307/3241839,,,,
M00016,Tumidulin,O=C(OC1=CC(O)=C(C(=O)OC)C(=C1)C)C=2C(O)=C(Cl)C(O)=C(Cl)C2C,CSRJYVIKHJFLSA-UHFFFAOYSA-N,"Methyl 3,5-dichlorolecanorate; timidulin; turnidulin",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(OC1=CC(O)=C(C(=O)OC)C(=C1)C)C=2C(O)=C(Cl)C(O)=C(Cl)C2C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0176474,,TRUE,TRUE,TRUE,NP0262425,https://doi.org/10.1002/cber.19660990404,,,,
M00017,Umbilicaric acid,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC(=O)C=3C(OC)=CC(O)=CC3C)C=C2C)C=C1C,RLRCNRNYRSKNOO-UHFFFAOYSA-N,Umbilicarsaure,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC(=O)C=3C(OC)=CC(O)=CC3C)C=C2C)C=C1C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0227213,,FALSE,TRUE,TRUE,NP0297177,"Zopf, W. Ann. Chem. 300, 322-357 (1898)",,,,
M00018,Oxyphysodic acid,O=C(O)C1=C(O)C=C2OC(=O)C3=C(OC2=C1CCCCC)C(O)=C(O)C=C3CC(=O)CCCCC,BQHHNAPTXQOPBW-UHFFFAOYSA-N,"Hydroxyphysodic acid, Physodol, 3-hydroxyphysodic acid",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C2OC(=O)C3=C(OC2=C1CCCCC)C(O)=C(O)C=C3CC(=O)CCCCC,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0105008,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2272212/,TRUE,TRUE,TRUE,NP0213613,https://doi.org/10.1248/cpb.24.1596,,,,
M00019,Colensoic acid,O=C(O)C1=C(O)C=C2OC(=O)C=3C(OC2=C1CCCCC)=CC(OC)=CC3CCCCC,RWVJYKHAFMWADK-UHFFFAOYSA-N  ,Colensoinic acid,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C2OC(=O)C=3C(OC2=C1CCCCC)=CC(OC)=CC3CCCCC,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0265765,,FALSE,TRUE,TRUE,NP0323704,"Fox, C.H., Klein, E. and Huneck, S., 1970. Colensoic acid, a new depsidone from Stereocaulon colensoi. Phytochemistry.",,,,
M00020,argopsin,O=CC1=C(O)C(Cl)=C(C=2C(=O)OC3=C(OC12)C(=C(Cl)C(OC)=C3C)C)C,SNNDIPJEAQAKTJ-UHFFFAOYSA-N  ,1'-Chloropannarin; 1'-Chloropannarine; ,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=CC1=C(O)C(Cl)=C(C=2C(=O)OC3=C(OC12)C(=C(Cl)C(OC)=C3C)C)C,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0050536,,FALSE,TRUE,TRUE,NP0176140,https://doi.org/10.1071/CH9860719,,,,
M00021,Norlobaridone,O=C1OC2=CC(O)=CC(=C2OC3=CC(O)=CC(C(=O)CCCC)=C13)CCCCC,ZSMRNRJMUKTCNH-UHFFFAOYSA-N,NORLOBARIC ACID; loxodic acid,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C1OC2=CC(O)=CC(=C2OC3=CC(O)=CC(C(=O)CCCC)=C13)CCCCC,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0121907,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL368810/,TRUE,FALSE,TRUE,NP0225167,https://doi.org/10.1071/CH9600285,,,,
M00022,Allantoin,O=C(N)NC1NC(=O)NC1=O,POJWUDADGALRAB-UHFFFAOYSA-N ,"5-Ureidohydantoin, Glyoxyldiureide, 1-(2,5-dioxoimidazolidin-4-yl)urea, Cordianine, Allantol, Glyoxyldiureid, Sebical, Uniderm A, Cutemol emollient, Alantan, Psoralon, Septalan, (2,5-Dioxo-4-imidazolidinyl)urea, Glyoxylic(acid) diureide, (2,5-dioxoimidazolidin-4-yl)urea, Glyoxylic diureide, 5-Ureido-2,4-imidazolidindion
, N-(2,5-Dioxo-4-imidazolidinyl)urea, Alwextin, 2,5-Dioxo-4-imidazolidinyl-urea, Fancol TOIN, 5-Ureidohydrantoin, 4-ureido-2,5-Imidazolidinedione",Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazoles,O=C(N)NC1NC(=O)NC1=O,Purine alkaloids,Pseudoalkaloids,Alkaloids,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0106609,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL593429/,FALSE,FALSE,TRUE,NP0000012,https://doi.org/10.1515/bchm2.1909.63.4.283,,,,
M00023,Alpha-tocopherol,OC=1C(=C(C=2OC(C)(CCC2C1C)CCCC(C)CCCC(C)CCCC(C)C)C)C,GVJHHUAWPYXKBD-IEOSBIPESA-N,"vitamin E, 5,7,8-Trimethyltocol, Aquasol E, Viteolin, Eprolin, Phytogermine, Denamone, Esorb",Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Vitamin E compounds,OC=1C(=C(C=2OC(C)(CCC2C1C)CCCC(C)CCCC(C)CCCC(C)C)C)C,Prenyl quinone meroterpenoids,Meroterpenoids,Terpenoids,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0188293,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989727/,FALSE,TRUE,TRUE,NP0270525,10.1126/science.56.1458.650,,,,
M00024,Linoleic acid,O=C(CCCCCCC/C=C/C/C=C/CCCCC)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,"Linolic acid, (9Z,12Z)-octadeca-9,12-dienoic acid, Telfairic acid, Linoleate, 9,12-Linoleic acid, Grape seed oil, all-cis-9,12-Octadecadienoic acid, Emersol 315, Unifac 6550, Polylin 515, (14C)alpha-Linolenic acid, Leinolic acid, Linolate, C18:2, n-6,9 all-cis",Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,O=C(CCCCCCC/C=C/C/C=C/CCCCC)O,Unsaturated fatty acids,Fatty Acids and Conjugates,Fatty acids,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0103152,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL267476/,FALSE,FALSE,TRUE,NP0212357,"Sacc, F. (1844). Ueber das Leinöl, seine physikalischen und chemischen Eigenschaften und seine Oxydationsproducte. Justus Liebigs Annalen der Chemie, 51(2), 213-230.",,,,
M00025,Methyl orsellinate,O=C(OC)C=1C(O)=CC(O)=CC1C,NCCWCZLEACWJIN-UHFFFAOYSA-N ,"Methyl 2,4-dihydroxy-6-methylbenzoate; Benzoic acid, 2,4-dihydroxy-6-methyl-, methyl ester; orsellinic acid methyl ester; Orsellinic acid monomethyl ester; 2,4-Dihydroxy-6-methylbenzoic acid methyl ester; Methyl 4,6-dihydroxy-2-methylbenzoate; Methyl o-orsellinate; .beta.-Resorcylic acid, 6-methyl-, methyl ester; Methyl 6-methyl-ss-resorcylate; atranol",Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,O=C(OC)C=1C(O)=CC(O)=CC1C,"Shikimic acids and derivatives,Simple phenolic acids",Phenolic acids (C6-C1),Shikimates and Phenylpropanoids,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0234011,https://www.ebi.ac.uk/chembl/g/#search_results/all/query=Methyl%20orsellinate,FALSE,FALSE,TRUE,NP0074730,https://doi.org/10.1016/S0031-9422(00)85190-0,,,,
M00026,Microphyllinic acid,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2CC(=O)CCCCC)C=C1CC(=O)CCCCC,ZYBMBXGISAHLBW-UHFFFAOYSA-N  ,Microphyllinsaure,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C=C(OC(=O)C2=C(O)C=C(OC)C=C2CC(=O)CCCCC)C=C1CC(=O)CCCCC,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0177741,,FALSE,FALSE,TRUE,NP0263328,"Asahina, Y. and F. Fuzikawa, Chem. Ber. 68, 2022-2026 (1935)",,,,
M00027,Loxodin,O=C1OC2=CC(O)=C(C(=O)OC)C(=C2OC3=CC(O)=CC(C(=O)CCCC)=C13)CCCCC,KDGYIQJGCXRCIL-UHFFFAOYSA-N  ,Neoloxodic acid; methyl norlobarate ,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C1OC2=CC(O)=C(C(=O)OC)C(=C2OC3=CC(O)=CC(C(=O)CCCC)=C13)CCCCC,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0100343,,TRUE,FALSE,TRUE,NP0210429,https://doi.org/10.1016/S0031-9422(00)85239-5,,,,
M00028,Orcinol,OC=1C=C(O)C=C(C1)C,OIPPWFOQEKKFEE-UHFFFAOYSA-N,"3,5-Dihydroxytoluene, 5-methylbenzene-1,3-diol; 5-METHYLRESORCINOL; 1,3-Dihydroxy-5-methylbenzene; Orcin; 5-Methyl-1,3-benzenediol; 5-Methylresorcin; 1,3-Benzenediol, 5-methyl-; 3-Hydroxy-5-methylphenol; 3,5-Toluenediol; Resorcinol, 5-methyl-;Orcinol; 5-methylresorcinol; 5-Methyl Resorcinol; 3,5-Dihydroxy-toluene; 5-Methyl-benzene-1,3-diol; 5-Methyl-1,3-dihydroxybenzene; alpha orcinol",Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,OC=1C=C(O)C=C(C1)C,,,,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0230426,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL110059/,TRUE,TRUE,TRUE,NP0051531,https://doi.org/10.1080/14786419.2017.1385020,,,,
M00029,Methyl evernate,O=C(OC1=CC(O)=C(C(=O)OC)C(=C1)C)C2=C(O)C=C(OC)C=C2C,IUAPPXZOQIJVBW-UHFFFAOYSA-N ,"2,6-Cresotic acid",Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(OC1=CC(O)=C(C(=O)OC)C(=C1)C)C2=C(O)C=C(OC)C=C2C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0131841,,FALSE,FALSE,TRUE,NP0231954,https://doi.org/10.1039/JR9320001388 (synthesis paper),,,,
M00030,Atranorin,O=CC1=C(O)C=C(C(C(=O)OC=2C=C(C(C(=O)OC)=C(O)C2C)C)=C1O)C,YLOYKYXNDHOHHT-UHFFFAOYSA-N  ,Atranoric acid; Atranorine; Parmelin; Usnarin; Antranoric acid; Parmelin acid; Usnarin acid; lecanorol,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=CC1=C(O)C=C(C(C(=O)OC=2C=C(C(C(=O)OC)=C(O)C2C)C)=C1O)C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0225173,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL173395/,TRUE,FALSE,TRUE,NP0008056,"Zopf, W., Ann. Chem. 288, 38-74 (1895). From Haematomma coccineum and Lecanora melanaspis. Also the structure has been proved by St. Pfau, A., Helv. Chim. Acta 9, 650-669 (1926).",https://doi.org/10.1248/cpb.13.1015,,,
M00031,Picrolichenic acid,O=C(O)C1=C(O)C=C2OC(=O)C3(C(OC)=CC(=O)C=C3CCCCC)C2=C1CCCCC,LOGCRVAWKCZXQM-UHFFFAOYSA-N ,picrolichenin; Pichrolichenic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,O=C(O)C1=C(O)C=C2OC(=O)C3(C(OC)=CC(=O)C=C3CCCCC)C2=C1CCCCC,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0193721,,TRUE,TRUE,TRUE,NP0274311,10.3891/acta.chem.scand.12-0147,,,,
M00032,Barbatic acid,O=C(O)C1=C(O)C(=C(OC(=O)C2=C(O)C(=C(OC)C=C2C)C)C=C1C)C,NMKBRSYSHBPUPY-UHFFFAOYSA-N,Barbatinic acid; Barbatinsaure; coccellic acid; coenomycin; rhizoic acid; rhizonic acid; cenomycin,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=C(O)C1=C(O)C(=C(OC(=O)C2=C(O)C(=C(OC)C=C2C)C)C=C1C)C,Depsides,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0135163,,TRUE,TRUE,TRUE,NP0070937,"First Isolated: Stenhouse, J. and C. E. Groves, Ann. Chem. 203, 285-305 (1880). From Usnea barbata.",https://doi.org/10.1039/JR9320001675,,,
M00033,Virensic acid,O=CC1=C(O)C=C(C=2C(=O)OC3=C(OC12)C(=C(C(=O)O)C(O)=C3C)C)C,FOKAHYDSEWGOHN-UHFFFAOYSA-N,Granulatine,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=CC1=C(O)C=C(C=2C(=O)OC3=C(OC12)C(=C(C(=O)O)C(O)=C3C)C)C,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0052281,,FALSE,TRUE,FALSE,NP0177343,https://doi.org/10.1016/0040-4020(61)80112-9,,,,
M00034,arthothelin,O=C1C2=C(C(Cl)=C(O)C(Cl)=C2O)OC3=C(Cl)C(O)=CC(C)=C31,NTAXLEHKEDVPRK-UHFFFAOYSA-N,"2,4,5 trichloronorlichexanthone, ARTHOTHELIN; 2,4,5 trichloronorlichexanthon; Concretin; deschlorothiophanic acid",Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,Dibenzopyrans,O=C1C2=C(C(Cl)=C(O)C(Cl)=C2O)OC3=C(Cl)C(O)=CC(C)=C31,Methyl xanthones,Xanthones,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0045638,,TRUE,TRUE,TRUE,NP0074211,"Huneck, S. and G. Follmann, Z. Naturforsch. 22b, 461 (1967). From Arthothelium pacificum under the name Arthothelin ",,,,
M00035,Pannarin,O=CC1=C(O)C(Cl)=C(C=2C(=O)OC3=C(OC12)C(=CC(OC)=C3C)C)C,LVGKNESDSKGROR-UHFFFAOYSA-N,Pannarine,Organic compounds,Phenylpropanoids and polyketides,Depsides and depsidones,,Depsides and depsidones,O=CC1=C(O)C(Cl)=C(C=2C(=O)OC3=C(OC12)C(=CC(OC)=C3C)C)C,Depsidones,Aromatic polyketides,Polyketides,FALSE,https://lotus.naturalproducts.net/compound/lotus_id/LTS0206033,,FALSE,TRUE,TRUE,NP0282755,https://doi.org/10.1248/yakushi1881.61.8_332,,,,
